strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl,trade_count
IronCondor,2021-01-07,2021-01-01 09:20:00,2021-01-01 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14100CE@81.15,BUY:NIFTY_DHAN_14200CE@45.6,SELL:NIFTY_DHAN_13900PE@79.55,BUY:NIFTY_DHAN_13800PE@54.0",135.0,220.24,-85.24,
IronCondor,2021-01-07,2021-01-04 09:20:00,2021-01-04 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14200CE@47.2,BUY:NIFTY_DHAN_14300CE@20.0,SELL:NIFTY_DHAN_14000PE@48.7,BUY:NIFTY_DHAN_13900PE@27.6",107.5,207.41,-99.91,
IronCondor,2021-01-07,2021-01-05 09:20:00,2021-01-05 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14150CE@56.65,BUY:NIFTY_DHAN_14250CE@22.1,SELL:NIFTY_DHAN_13950PE@42.05,BUY:NIFTY_DHAN_13850PE@26.65",-720.0,210.76,-930.76,
IronCondor,2021-01-07,2021-01-06 09:20:00,2021-01-06 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14300CE@31.65,BUY:NIFTY_DHAN_14400CE@8.25,SELL:NIFTY_DHAN_14100PE@30.25,BUY:NIFTY_DHAN_14000PE@17.2",470.0,199.48,270.52,
IronCondor,2021-01-07,2021-01-07 09:20:00,2021-01-07 11:02:00,entry,stop_loss,"SELL:NIFTY_DHAN_14350CE@3.35,BUY:NIFTY_DHAN_14450CE@0.75,SELL:NIFTY_DHAN_14150PE@12.85,BUY:NIFTY_DHAN_14050PE@3.95",-422.5,192.25,-614.75,
IronCondor,2021-01-14,2021-01-08 09:20:00,2021-01-08 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14350CE@56.8,BUY:NIFTY_DHAN_14450CE@28.35,SELL:NIFTY_DHAN_14150PE@79.5,BUY:NIFTY_DHAN_14050PE@51.35",-332.5,220.33,-552.83,
IronCondor,2021-01-14,2021-01-11 09:20:00,2021-01-11 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14500CE@57.7,BUY:NIFTY_DHAN_14650CE@16.1,SELL:NIFTY_DHAN_14350PE@82.35,BUY:NIFTY_DHAN_14250PE@54.15",-212.5,216.27,-428.77,
IronCondor,2021-01-14,2021-01-12 09:20:00,2021-01-12 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14550CE@44.5,BUY:NIFTY_DHAN_14650CE@17.3,SELL:NIFTY_DHAN_14350PE@61.1,BUY:NIFTY_DHAN_14250PE@41.05",-432.5,210.97,-643.47,
IronCondor,2021-01-14,2021-01-13 09:20:00,2021-01-13 13:59:00,entry,stop_loss,"SELL:NIFTY_DHAN_14750CE@15.25,BUY:NIFTY_DHAN_14850CE@4.6,SELL:NIFTY_DHAN_14550PE@45.65,BUY:NIFTY_DHAN_14450PE@22.8",-930.0,204.23,-1134.23,
IronCondor,2021-01-14,2021-01-14 09:20:00,2021-01-14 09:40:00,entry,stop_loss,"SELL:NIFTY_DHAN_14650CE@7.6,BUY:NIFTY_DHAN_14750CE@1.2,SELL:NIFTY_DHAN_14450PE@11.9,BUY:NIFTY_DHAN_14350PE@3.1",-405.0,192.79,-597.79,
