strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl,trade_count
ShortStrangle,2021-01-07,2021-01-01 09:20:00,2021-01-01 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14100CE@81.15,SELL:NIFTY_DHAN_13900PE@79.55",1530.0,115.24,1414.76,
ShortStrangle,2021-01-07,2021-01-04 09:20:00,2021-01-04 11:06:00,entry,stop_loss,"SELL:NIFTY_DHAN_14200CE@47.2,SELL:NIFTY_DHAN_14000PE@48.7",-2845.0,109.17,-2954.17,
ShortStrangle,2021-01-07,2021-01-05 09:20:00,2021-01-05 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14150CE@56.65,SELL:NIFTY_DHAN_13950PE@42.05",-1272.5,108.58,-1381.08,
ShortStrangle,2021-01-07,2021-01-06 09:20:00,2021-01-06 14:11:00,entry,stop_loss,"SELL:NIFTY_DHAN_14300CE@31.65,SELL:NIFTY_DHAN_14100PE@30.25",-1725.0,103.86,-1828.86,
ShortStrangle,2021-01-07,2021-01-07 09:20:00,2021-01-07 10:31:00,entry,stop_loss,"SELL:NIFTY_DHAN_14350CE@3.35,SELL:NIFTY_DHAN_14150PE@12.85",-435.0,96.87,-531.87,
ShortStrangle,2021-01-14,2021-01-08 09:20:00,2021-01-08 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14350CE@56.8,SELL:NIFTY_DHAN_14150PE@79.5",-1080.0,113.56,-1193.56,
ShortStrangle,2021-01-14,2021-01-11 09:20:00,2021-01-11 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14500CE@57.7,SELL:NIFTY_DHAN_14350PE@82.35",222.5,113.25,109.25,
ShortStrangle,2021-01-14,2021-01-12 09:20:00,2021-01-12 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14550CE@44.5,SELL:NIFTY_DHAN_14350PE@61.1",-310.0,108.91,-418.91,
ShortStrangle,2021-01-14,2021-01-13 09:20:00,2021-01-13 13:38:00,entry,stop_loss,"SELL:NIFTY_DHAN_14750CE@15.25,SELL:NIFTY_DHAN_14550PE@45.65",-1567.5,103.62,-1671.12,
ShortStrangle,2021-01-14,2021-01-14 09:20:00,2021-01-14 09:40:00,entry,stop_loss,"SELL:NIFTY_DHAN_14650CE@7.6,SELL:NIFTY_DHAN_14450PE@11.9",-592.5,97.41,-689.91,
ShortStrangle,2021-01-21,2021-01-15 09:20:00,2021-01-15 14:20:00,entry,stop_loss,"SELL:NIFTY_DHAN_14700CE@80.75,SELL:NIFTY_DHAN_14500PE@96.45",-4682.5,121.33,-4803.83,
ShortStrangle,2021-01-21,2021-01-18 09:20:00,2021-01-18 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14500CE@94.1,SELL:NIFTY_DHAN_14300PE@95.35",705.0,119.65,585.35,
ShortStrangle,2021-01-21,2021-01-19 09:20:00,2021-01-19 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14500CE@64.6,SELL:NIFTY_DHAN_14300PE@60.0",-52.5,111.32,-163.82,
ShortStrangle,2021-01-21,2021-01-20 09:20:00,2021-01-20 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14650CE@31.15,SELL:NIFTY_DHAN_14450PE@34.6",1047.5,102.67,944.83,
ShortStrangle,2021-01-21,2021-01-21 09:20:00,2021-01-21 11:57:00,entry,target,"SELL:NIFTY_DHAN_14800CE@5.15,SELL:NIFTY_DHAN_14600PE@4.4",230.0,95.56,134.44,
ShortStrangle,2021-01-28,2021-01-22 09:20:00,2021-01-22 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14650CE@103.4,SELL:NIFTY_DHAN_14450PE@90.45",-942.5,121.28,-1063.78,
